MiniDeviceId,DeviceTimeStamp,Latitude,Longitude,TempC,Humidity,PM1,PM25,PM10,CO,VBat
D0FAD9A6BBF3,2021-04-15 10:44:40.000 PM,42.37968063,-71.09918213,19.05,54.01,17.45,18.18,19.1,8.68,4.125
D0FAD9A6BBF3,2021-04-15 10:45:01.000 PM,42.37973022,-71.09913635,19.08,49.83,23.04,24,25.22,6.51,4.106
D0FAD9A6BBF3,2021-04-15 10:45:22.000 PM,42.37975693,-71.0990448,19.31,49.57,22.45,24.08,25.95,4.82,4.118
D0FAD9A6BBF3,2021-04-15 10:45:43.000 PM,42.379776,-71.09910583,19.4,49.35,20.58,21.44,22.53,3.42,4.115
D0FAD9A6BBF3,2021-04-15 10:46:04.000 PM,42.37982178,-71.09916687,19.31,49.6,19.69,21.43,23.37,3.34,4.119
D0FAD9A6BBF3,2021-04-15 10:46:25.000 PM,42.37985992,-71.09918213,19.31,49.36,24.4,25.43,26.72,3.12,4.107
D0FAD9A6BBF3,2021-04-15 10:46:46.000 PM,42.37971878,-71.09920502,19.31,48.66,21.59,23.42,25.48,2.88,4.112
D0FAD9A6BBF3,2021-04-15 10:47:07.000 PM,42.37975693,-71.09915161,19.31,48.56,23.05,24.5,26.19,2.3,4.118
D0FAD9A6BBF3,2021-04-15 10:47:28.000 PM,42.37972641,-71.09906769,19.56,48.6,22.97,24.39,26.06,2.01,4.112
D0FAD9A6BBF3,2021-04-15 10:47:38.000 PM,42.37986755,-71.09899139,19.36,47.67,22.63,24.82,27.24,1.59,4.113
D0FAD9A6BBF3,2021-04-15 10:47:59.000 PM,42.37986755,-71.09907532,19.31,49.22,23.48,26.75,30.24,1.98,4.115
D0FAD9A6BBF3,2021-04-15 10:48:20.000 PM,42.37989044,-71.09903717,19.31,49.52,21.09,21.97,23.09,1.77,4.115
D0FAD9A6BBF3,2021-04-15 10:48:41.000 PM,42.37994385,-71.09897614,19.4,48.73,24.87,26.34,28.09,1.79,4.109
D0FAD9A6BBF3,2021-04-15 10:49:02.000 PM,42.37990952,-71.09899902,19.36,47.07,18.59,19.68,20.97,1.35,4.112
D0FAD9A6BBF3,2021-04-15 10:49:23.000 PM,42.37994003,-71.09895325,19.4,47.7,21.76,22.68,23.84,0.14,4.11
D0FAD9A6BBF3,2021-04-15 10:49:44.000 PM,42.37994003,-71.09899902,19.31,46.38,14.34,15.33,16.48,-0.66,4.115
D0FAD9A6BBF3,2021-04-15 10:50:05.000 PM,42.37995911,-71.09896088,19.05,43.81,13.06,14.61,16.29,-0.13,4.119
D0FAD9A6BBF3,2021-04-15 10:50:26.000 PM,42.37992477,-71.09902954,19.03,45.57,22.65,23.6,24.8,0.09,4.125
D0FAD9A6BBF3,2021-04-15 10:50:47.000 PM,42.37992477,-71.09903717,18.86,45.73,15.45,16.1,16.91,-0.92,4.121
D0FAD9A6BBF3,2021-04-15 10:51:08.000 PM,42.37992096,-71.09908295,18.77,46.83,20.17,21.4,22.86,-0.41,4.116
D0FAD9A6BBF3,2021-04-15 10:51:29.000 PM,42.37992096,-71.09906769,18.68,46.78,18.09,19.21,20.52,-1.13,4.124
D0FAD9A6BBF3,2021-04-15 10:51:50.000 PM,42.37994385,-71.0990448,18.68,45.15,13.36,14.78,16.33,-1.1,4.109
D0FAD9A6BBF3,2021-04-15 10:52:11.000 PM,42.37990189,-71.09911346,18.42,46.65,17.8,19.89,22.15,-0.54,4.125
D0FAD9A6BBF3,2021-04-15 10:52:32.000 PM,42.37984467,-71.09915924,18.24,47.41,19.27,20.07,21.09,-0.85,4.133
D0FAD9A6BBF3,2021-04-15 10:52:53.000 PM,42.37988663,-71.09908295,18.3,48.6,15.25,16.76,18.42,-0.15,4.121
D0FAD9A6BBF3,2021-04-15 10:53:14.000 PM,42.3799057,-71.09909058,18.18,48.03,11.36,12.89,14.54,-1.38,4.125
D0FAD9A6BBF3,2021-04-15 10:53:35.000 PM,42.37988663,-71.09909058,18.24,47.03,12.4,12.92,13.57,-1.14,4.115
D0FAD9A6BBF3,2021-04-15 10:53:56.000 PM,42.37994003,-71.09905243,17.92,47.26,14.11,14.7,15.45,-1.6,4.106
D0FAD9A6BBF3,2021-04-15 10:54:17.000 PM,42.37985992,-71.09909821,17.85,48.06,13.41,13.97,14.68,-2.03,4.115
D0FAD9A6BBF3,2021-04-15 10:54:38.000 PM,42.37973022,-71.09915161,17.68,47.67,13.36,14.52,15.82,-1.34,4.112
D0FAD9A6BBF3,2021-04-15 10:54:59.000 PM,42.37990189,-71.09905243,17.74,47.88,18.63,19.41,20.4,-1.68,4.119
D0FAD9A6BBF3,2021-04-15 10:55:20.000 PM,42.37990952,-71.09911346,17.55,51.6,15.33,15.97,16.78,-0.96,4.127
D0FAD9A6BBF3,2021-04-15 10:55:41.000 PM,42.37985611,-71.09913635,17.61,49.48,16.68,17.98,19.46,-0.59,4.116
D0FAD9A6BBF3,2021-04-15 10:56:02.000 PM,42.37980652,-71.09914398,17.45,50.24,15.28,15.92,16.73,-1.21,4.115
D0FAD9A6BBF3,2021-04-15 10:56:23.000 PM,42.37987137,-71.09910583,17.42,49.19,18.24,19,19.96,-0.86,4.119
D0FAD9A6BBF3,2021-04-15 10:56:44.000 PM,42.379879,-71.09909821,17.43,50.77,16.65,17.34,18.22,-1.13,4.11
